Linux 5.15.0-73-generic (ubuntu2004) 	06/14/2023 	_x86_64_	(8 CPU)

12:31:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:53:13 PM  all   92.20    0.00    7.00    0.00    0.00    0.03    0.00    0.00    0.00    0.77
03:53:43 PM  all   93.40    0.00    5.98    0.00    0.00    0.01    0.00    0.00    0.00    0.61
03:54:13 PM  all   92.88    0.00    6.32    0.00    0.00    0.01    0.00    0.00    0.00    0.79
03:54:43 PM  all   92.71    0.00    6.56    0.00    0.00    0.01    0.00    0.00    0.00    0.72
03:55:13 PM  all   11.98    0.00    1.15    0.00    0.00    0.02    0.00    0.00    0.00   86.86
03:55:43 PM  all    0.10    0.00    0.18    0.01    0.00    0.00    0.00    0.00    0.00   99.71
03:56:13 PM  all    0.07    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   99.79
03:56:43 PM  all    0.13    0.00    0.19    0.00    0.00    0.01    0.00    0.00    0.00   99.67
03:57:13 PM  all    1.46    0.00    0.37    0.00    0.00    0.01    0.00    0.00    0.00   98.17
03:57:43 PM  all    0.06    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.82
03:58:13 PM  all   66.25    0.00    4.41    0.00    0.00    0.01    0.00    0.00    0.00   29.33
03:58:43 PM  all   93.44    0.00    5.88    0.00    0.00    0.02    0.00    0.00    0.00    0.66
03:59:13 PM  all   93.14    0.00    6.21    0.00    0.00    0.01    0.00    0.00    0.00    0.64
03:59:43 PM  all   93.18    0.00    6.08    0.00    0.00    0.02    0.00    0.00    0.00    0.72
04:00:13 PM  all   35.24    0.00    3.21    0.00    0.00    0.02    0.00    0.00    0.00   61.53
04:00:43 PM  all    0.07    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.82
04:01:13 PM  all    0.13    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   99.67
04:01:43 PM  all    0.20    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   99.62
04:02:13 PM  all    1.57    0.00    0.24    0.01    0.00    0.00    0.00    0.00    0.00   98.18
04:02:43 PM  all    0.12    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.75
04:03:13 PM  all   41.91    0.00    3.25    0.00    0.00    0.01    0.00    0.00    0.00   54.83
04:03:43 PM  all   93.34    0.00    5.96    0.00    0.00    0.02    0.00    0.00    0.00    0.67
04:04:13 PM  all   92.88    0.00    5.98    0.00    0.00    0.01    0.00    0.00    0.00    1.13
04:04:43 PM  all   92.88    0.00    6.04    0.00    0.00    0.02    0.00    0.00    0.00    1.05
04:05:13 PM  all   60.80    0.00    4.11    0.00    0.00    0.03    0.00    0.00    0.00   35.07
04:05:43 PM  all    0.08    0.00    0.16    0.00    0.00    0.00    0.00    0.00    0.00   99.75
04:06:13 PM  all    0.11    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.76
04:06:43 PM  all    0.08    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.79
04:07:13 PM  all    1.47    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.29
04:07:43 PM  all    0.10    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.75
Average:     all   38.35    0.00    2.69    0.00    0.00    0.01    0.00    0.00    0.00   58.95
